,serch_keyword,job_title,company_name,job_posted_date,job_location,job_link
132,data-science,  Business Intelligence Analyst / Developer (w/m/x)  , Raiffeisen Bank International AG ,6.2.2022,Vienna,https://www.karriere.at/jobs/5999113
133,data-science,  Praktikum Data Engineering & Applied Intelligence (all genders)  , Accenture GmbH ,6.2.2022,Vienna,https://www.karriere.at/jobs/5941801
134,data-science,  Product Owner - Big Data (m/w/d)  , Künz GmbH ,6.2.2022,Hard,https://www.karriere.at/jobs/5967094
135,data-science,  Senior Java Entwickler:in (w/m/d) für Big Data Management-Plattform  , Bundesrechenzentrum GmbH ,6.2.2022,Vienna,https://www.karriere.at/jobs/5890543
136,data-science,"  Consultant (w/m/d) Finance, Data & Performance  ", Deloitte ,6.2.2022,Vienna,https://www.karriere.at/jobs/5914562
137,data-science,  Service Manager for Data and Analytics Platform (f/m/x)  , Raiffeisen Bank International AG ,6.2.2022,Vienna,https://www.karriere.at/jobs/5999494
138,data-science,  Data Architect (w/m/d)  , PALFINGER ,6.2.2022,Bergheim,https://www.karriere.at/jobs/5955742
139,data-science,  HCM Specialist (m/w/d)  , AGRANA Beteiligungs-AG ,6.2.2022,Vienna,https://www.karriere.at/jobs/5966311
140,data-science,  Backend Developer (f/m/d)  , PALFINGER ,6.2.2022,Vienna,https://www.karriere.at/jobs/5955862
141,data-science,  Big Data Engineer for Group Data Acquisition (all genders)  , Erste Bank ,5.2.2022,Vienna,https://www.karriere.at/jobs/5969035
142,data-science,  Full Stack Developer (m/f/d)  , voestalpine AG ,5.2.2022,Vienna,https://www.karriere.at/jobs/5978530
143,data-science,  Managementberater:in Data Architecture - Data & Analytics  , EY Österreich ,5.2.2022,Vienna,https://www.karriere.at/jobs/5988709
144,data-science,  Senior Java Software Developer (m/f/d)  , Sportradar Austria ,5.2.2022,Linz,https://www.karriere.at/jobs/6009706
145,data-science,  Senior Product Analyst (m/f/d)  , Greentube GmbH ,5.2.2022,Vienna,https://www.karriere.at/jobs/5988169
146,data-science,  Scientific Writer (f/m/x)  , EBG MedAustron GmbH ,5.2.2022,Viennaer,https://www.karriere.at/jobs/6024010
147,data-science,  Senior Software/Data Architect with interest in Machine Learning (f/m/d) - externe Anstellung  , A1 Digital International GmbH ,5.2.2022,Vienna,https://www.karriere.at/jobs/5990689
148,data-science,  (Senior) Datenarchitekt:in (m/w/d)  , Wüstenrot Datenservice GmbH ,5.2.2022,Salzburg,https://www.karriere.at/jobs/5966581
149,data-science,  Master thesis: Data-driven equipment health monitoring  , Infineon Technologies Austria AG ,5.2.2022,Villach,https://www.karriere.at/jobs/5927501
150,data-science,  Experienced Cloud Engineer (m/f/d) / Remote work possible  , INNIO Jenbacher ,5.2.2022,Jenbach,https://www.karriere.at/jobs/6045088
151,data-science,  Senior Data Engineer (m/w/d)  , Capgemini  ,5.2.2022,Vienna,https://www.karriere.at/jobs/5970241
152,data-science,"  Data Engineer für DWH, BI & Analytics (m/w)  ", PASO Solutions - Pataky Software GmbH ,5.2.2022,Hohenzell,https://www.karriere.at/jobs/5934260
153,data-science,  AI Product Manager (m/w/d)  , XXXLdigital – Part of XXXL Group ,5.2.2022,Vienna,https://www.karriere.at/jobs/6010375
154,data-science,  Research Engineer for Artificial Intelligence (m/f/d)  , Med-el Elektromedizinische Geräte GmbH ,5.2.2022,Innsbruck,https://www.karriere.at/jobs/6052996
155,data-science,"  Full Stack Developer (w/m/x) - Become part of a global team, work 100% remote and push your skills further!  ", epunkt GmbH ,4.2.2022,Vienna,https://www.karriere.at/jobs/6060577
